love	sevmek
hi	selam
bag	çanta
life	hayat
cactus	kaktüs
ghost	hayalet
abnormal	anormal
accountant	muhasebeci
actor	aktör
actress	aktrist
advert	ilan
adventurous	maceraperest
aerobics	aerobik
Africa	Afrika
Afrikaans	Afrikanca
agriculture	tarım
airman	pilot
airwoman	pilot
Albanian	Arnavutça
alder	akçaağaç
alive	canlı
Amsterdam	Amsterdam
anchovy	hamsi
angry	kızgın
anorak	anorak
answer	cevap
ant	karınca
Antarctica	Antartika
anxious	kaygılı
appointment	randevu
apprentice	stajyer
apprenticeship	stajyerlik
apricot	kayısı
April	Nisan
apron	önlük
Arabic	Arabça
archaeologist	arkeolog
archery	okçuluk
architect	mimar
arithmetic	aritmetik
armchair	koltuk
artichoke	enginar
artist	sanatçı
Asia	Asya
asparagus	kuşkonmaz
assembly	toplantı
astonished	şaşmış
Athens	Atina
athletics	atletizm
atmosphere	atmosfer
attachment	bağlantı
attendance	katılım
attractive	çekici
aubergine	patlıcan
August	Ağustos
Australia	Avustralya
Australasia	Avustralasya
Oceania	Okyanusya
autumn	Sonbahar
avocado	avokado
axe	balta
Azerbaijani	Azerice
baby	bebek
eggs	yumurta
bad	kötü
badminton	badminton
Baghdad	Bağdad
baker	fırıncı
bald	kel
banana	muz
Bangkok	Bankok
barber	berber
Barcelona	Barselona
barman	barmen
barn	ahır
barometer	barometre
bartender	barmen
baseball	beysbol
basil	fesleğen
basket	sepet
basketball	basketbol
Basque	Baskça
bath	küvet
bath	küvet
bathroom	banyo
scales	terazi
battery	pil
beach	kumsal
bear	ayı
beard	sakal
beautiful	güzel
bed	yatak
bee	arı
beech	kayın
beef	sığır eti
hamburger	hamburger
beetroot	pancar
Beijing	Pekin
Belarusian	Belarusca
Belgrade	Belgrat
bell	zil
belt	kemer
Bengali	Bengalce
Berlin	Berlin
berry	böğürtlen
best man	sağdıç
big	büyük
bikini	bikini
biologist	biyolog
birch	huş ağacı
biscuits	bisküviler
bishop	fil
black	siyah
blackberry	böğürtlen
blacksmith	demirci
blanket	battaniye
blinds	panjur
